"","gene","Pr..Chisq.","fdr","logfc"
"Actg1","Actg1",1.47380031314209e-26,3.52434781549379e-24,-1.46814723954036
"Atp5e","Atp5e",6.70715140260421e-11,5.2875938639871e-09,-1.02123494055223
"Atp5g2","Atp5g2",3.41245645696752e-30,9.41575485472499e-28,-1.42638835027726
"Atp5h","Atp5h",8.29219329116024e-14,7.82739403562942e-12,-1.00038825317503
"Basp1","Basp1",1.98394353401806e-66,2.37213515217426e-63,-2.10649830778451
"Calm2","Calm2",2.60046196464044e-184,1.86557141343305e-180,1.79806790653915
"Cfl1","Cfl1",6.85264044231151e-17,8.47600733330048e-15,1.06074260001367
"Cnih2","Cnih2",1.60733026525541e-20,2.81243593242496e-18,1.22604687361454
"Cox7a2l","Cox7a2l",3.62489017263709e-20,5.91021865874965e-18,-1.16246048528477
"Cox7b","Cox7b",1.30715848526497e-15,1.4652429645767e-13,-1.20291936999154
"Cpe","Cpe",1.80182289679691e-10,1.31900790424704e-08,1.02345150784178
"Eef1a1","Eef1a1",5.33641006892004e-100,7.65668116688648e-97,-2.23909011881926
"Eef1g","Eef1g",3.4938920417786e-15,3.58074021538852e-13,-1.0933412264593
"Fabp5","Fabp5",5.61872461436872e-65,5.75839005478303e-62,-2.12887516851398
"Fau","Fau",1.13492860310315e-154,4.07098889933101e-151,-2.10480270117914
"Gapdh","Gapdh",1.85158916667421e-41,7.81370628336517e-39,-1.84734742439233
"Gpx4","Gpx4",7.11972182683591e-11,5.55183525931748e-09,-1.01813743083093
"Hsp90ab1","Hsp90ab1",5.16056746324098e-49,2.84783930625314e-46,-2.12134343172837
"Hspe1","Hspe1",1.73459101034054e-14,1.68161566326797e-12,-1.07218919677995
"Kif1a","Kif1a",1.28133941321638e-57,1.02136988337936e-54,-1.94378791266567
"Malat1","Malat1",1.38052338182147e-118,3.30129158039575e-115,-2.82969288119165
"Map1b","Map1b",2.02061155017322e-17,2.73506929451749e-15,-1.06211757672728
"Mapt","Mapt",1.93793100537274e-24,4.08903442133649e-22,-1.30812140750407
"Marcksl1","Marcksl1",4.73580459322231e-35,1.4771592239903e-32,1.6049053336002
"Mgst3","Mgst3",2.53490939022657e-15,2.71424477096797e-13,1.18456671535111
"Mllt11","Mllt11",2.27963843610043e-57,1.63541261405845e-54,2.3852800253242
"Myeov2","Myeov2",6.47002203112479e-13,5.87543519636572e-11,-1.01052152285607
"Naca","Naca",1.71160874114388e-24,3.72093366938369e-22,-1.39074436254162
"Ndufb9","Ndufb9",1.13403451909359e-14,1.12993939444131e-12,-1.0300789638494
"Nnat","Nnat",5.63177868605975e-25,1.30330259012234e-22,-1.57789434072281
"Pcp4","Pcp4",3.46630553920404e-19,5.18068248713538e-17,-1.41430724498737
"Pebp1","Pebp1",2.79085727717864e-39,1.00108050532398e-36,-1.93101110660857
"Pfdn5","Pfdn5",8.03841807245004e-23,1.51756871715149e-20,-1.45994440979857
"Ptma","Ptma",1.20430871961185e-11,1.0164365593524e-09,-1.05768206530569
"Slc25a4","Slc25a4",7.31999457075423e-20,1.16696980112424e-17,1.25792255638167
"Smdt1","Smdt1",1.82781744736748e-15,1.98678217688096e-13,-1.1299542956567
"Snca","Snca",2.58718712799271e-17,3.43712601041106e-15,1.01078337904498
"Snrpg","Snrpg",2.88752404990197e-19,4.40746756042484e-17,-1.07353047005948
"Snrpn","Snrpn",9.55005855294165e-38,3.11418727540015e-35,1.60057390626158
"Stmn3","Stmn3",4.71745952477156e-24,9.66944418020318e-22,-1.36687999088138
"Tbca","Tbca",2.25287682508734e-14,2.15495177909021e-12,-1.0085491470906
"Tma7","Tma7",6.2495143170485e-23,1.211730154338e-20,-1.25260050627388
"Tpt1","Tpt1",9.00624846979613e-44,4.03817665764484e-41,-2.05642817115742
"Tubb2b","Tubb2b",7.88675836498295e-18,1.13159209020775e-15,-1.02655127178712
"Ubc","Ubc",1.4771403789701e-48,7.56928934195106e-46,1.40251714466663
"Ubl5","Ubl5",1.1850497068491e-11,1.01208888058755e-09,-1.09098734775048
"Uchl1","Uchl1",3.70094736357428e-17,4.79812999862253e-15,-1.07514509513116
"Uqcrh","Uqcrh",3.14292001540173e-32,9.0189232761968e-30,-1.68891937770766
"Vamp2","Vamp2",1.09099757912653e-28,2.69890228712196e-26,1.45902632138721
"Ywhae","Ywhae",1.26437627148881e-17,1.7443529560886e-15,1.14698686376568
"Ywhah","Ywhah",1.4901442761779e-24,3.34071719915633e-22,1.11560746468385
